,Pixel_Intensity_B4,Pixel_Intensity_B3,Pixel_Intensity_B2,IOU,Scores,Class1,Class2,Class3,Class4,Class5,Class6,Cloud_Prob,Date,Fitted,Index,B4_CI,B3_CI,B2_CI,IOU_CI,Scores_CI,Class1_CI,Class2_CI,Class3_CI,Class4_CI,Class5_CI,Class6_CI,Cloud_Prob_CI
48,7741.0,7510.0,8094.0,1.027802586555481,0.982905,0.1527804434299469,0.8050603866577148,0.012194789946079254,0.0013770515797659755,0.0049462453462183475,0.02364104986190796,16.0,2022-06-01 00:00:00,0,49,0,0,0,1,0,0,0,1,1,0,0,0
49,1927.0,2012.0,2221.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,2.0,2022-06-04 00:00:00,0,50,0,0,0,0,1,1,1,1,1,0,1,0
50,1551.0,1680.0,1902.0,1.0321094989776611,0.9837105,0.16485734283924103,0.792302668094635,0.012190055102109909,0.0013832394033670425,0.00498930923640728,0.024277394637465477,90.0,2022-06-06 00:00:00,0,51,0,0,0,0,1,0,0,1,1,0,0,0
51,1480.0,1621.0,1791.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,4.0,2022-06-09 00:00:00,0,52,0,0,0,0,1,1,1,1,1,0,1,0
52,3795.0,3746.0,4068.0,1.040078043937683,0.9829465,0.14595520496368408,0.8122377395629883,0.012213346548378468,0.0013803174952045083,0.004923438653349876,0.023289909586310387,12.0,2022-06-11 00:00:00,0,53,1,1,1,0,0,0,0,1,1,1,0,0
53,9487.0,8920.0,9492.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-06-14 00:00:00,0,54,0,0,0,0,1,1,1,1,1,0,1,0
54,1892.0,2086.0,2275.0,1.040078043937683,0.9829465,0.14595520496368408,0.8122377395629883,0.012213346548378468,0.0013803174952045083,0.004923438653349876,0.023289909586310387,1.0,2022-06-16 00:00:00,0,55,0,0,0,0,0,0,0,1,1,1,0,0
55,6801.0,6652.0,7143.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,5.0,2022-06-19 00:00:00,0,56,0,0,0,0,1,1,1,1,1,0,1,0
56,9133.0,8613.0,9149.0,1.0289264917373655,0.9831597,0.14825807511806488,0.8098050951957703,0.012218359857797623,0.0013806951465085149,0.004931445699185133,0.023406164720654488,100.0,2022-06-21 00:00:00,0,57,0,0,0,1,0,0,0,1,1,1,0,0
57,3758.0,3815.0,4106.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,0.0,2022-06-24 00:00:00,0,58,1,1,1,0,1,1,1,1,1,0,1,0
